city_baidu_id,name,id,20200117_moveIn,20200118_moveIn,20200119_moveIn,20200120_moveIn,20200121_moveIn,20200122_moveIn,20200123_moveIn,20200124_moveIn,20200125_moveIn,20200126_moveIn,20200127_moveIn,20200128_moveIn,20200129_moveIn,20200130_moveIn,20200131_moveIn,20200201_moveIn,20200202_moveIn,20200203_moveIn,20200204_moveIn,20200205_moveIn,20200206_moveIn,20200207_moveIn,20200208_moveIn,20200209_moveIn,20200210_moveIn,20200211_moveIn,20200212_moveIn,20200213_moveIn,20200214_moveIn,20200215_moveIn,20200216_moveIn,20200217_moveIn,20200218_moveIn,20200219_moveIn,20200220_moveIn,20200221_moveIn,20200222_moveIn,20200223_moveIn,20200224_moveIn,20200225_moveIn,20200226_moveIn,20200227_moveIn,20200228_moveIn,20200229_moveIn,20200301_moveIn
110000,北京市,110000,7.9102656,7.295508,7.67637,7.0203348,7.075512,5.9024376,4.8391992,3.7162152,2.5494264,5.0771772,6.3441792,6.0128568,5.71374,6.1088256,5.842692,5.5477224,6.0695244,5.6135268,3.4369272,2.8830816,2.4901668,2.5874316,2.889918,4.0553784,4.224798,2.5855524,2.1970764,2.143908,1.754298,1.539648,2.0478096,2.6313336,2.1994092,2.1466944,2.1308184,1.9199268,1.9823292,2.1708324,2.7277236,2.2782708,2.2356,2.1888144,2.0493648,1.9756548,2.1156228
120000,天津市,120000,2.9271132,3.2241888,2.8323432,2.769714,3.0176712,2.747358,2.4186924,1.8603108,1.258092,2.2196916,2.5123608,2.1041856,1.9008432,2.1789972,1.8968256,1.636038,1.6007544,1.409886,0.9526248,0.8598636,0.7269588,0.7871256,0.756054,0.9821736,1.0275984,0.7407612,0.7132212,0.7271856,0.6622236,0.5415012,0.67878,0.846936,0.8972532,0.9774432,0.9939996,1.0038492,1.0901952,1.1109312,1.2602628,1.3385088,1.3623228,1.3140468,1.3488444,1.459134,1.4518764
130100,石家庄市,130100,2.5308288,2.6119584,2.5461216,2.6225856,2.9885112,2.7063396,2.4028164,1.9294524,1.1462796,2.0124612,1.6445592,1.3139496,1.107918,1.276074,1.0101024,0.8643996,0.8807616,0.7472088,0.5607468,0.5086476,0.45117,0.4982472,0.4923504,0.6183216,0.555012,0.4269024,0.3931092,0.3922668,0.3788532,0.3659256,0.3963492,0.4938408,0.4721328,0.5276664,0.5683284,0.6051348,0.6527304,0.6718788,0.6929712,0.670356,0.7090092,0.7136424,0.7347024,0.8263944,0.8910648
130200,唐山市,130200,1.2977496,1.405836,1.393038,1.4725152,1.756404,1.829628,1.8369828,1.3270716,0.8774892,0.9706068,0.8609328,0.7093332,0.5860836,0.593406,0.5357988,0.4501332,0.4274208,0.4098924,0.3412368,0.302292,0.2678508,0.2699244,0.2460456,0.2761776,0.3195288,0.3023892,0.263412,0.2929284,0.2652264,0.2009448,0.2545344,0.3081888,0.3306744,0.3324888,0.348786,0.358992,0.366768,0.3937896,0.4244076,0.4636764,0.5008716,0.5008716,0.5137992,0.6014412,0.5651532
130300,秦皇岛市,130300,0.6665004,0.68769,0.7130592,0.737262,0.9044136,0.9455616,0.9427104,0.7501572,0.4651992,0.601668,0.592434,0.473202,0.3937572,0.3911976,0.3332016,0.2429676,0.2267352,0.1882116,0.1502064,0.1457028,0.1350108,0.1363716,0.1341036,0.1423008,0.159894,0.1296972,0.1436292,0.1408428,0.1313172,0.1004076,0.101088,0.1372464,0.1395792,0.134298,0.1483596,0.1574316,0.2083644,0.14823,0.1599264,0.1821204,0.1915488,0.1965708,0.1973808,0.2211948,0.204606
130400,邯郸市,130400,2.2021308,2.3877828,2.5495884,2.9562408,3.4095816,3.1172688,3.0731724,2.6831088,1.19637,0.8706528,0.5987844,0.4841532,0.4086612,0.4175388,0.373896,0.3406212,0.3874068,0.3256848,0.2900124,0.2822364,0.2580984,0.2738448,0.2786076,0.2816532,0.2810052,0.2770524,0.2738772,0.3109752,0.2913084,0.270702,0.2922156,0.3773628,0.3696192,0.3870828,0.4259304,0.46575,0.491508,0.4961088,0.4794552,0.4763772,0.45279,0.466722,0.4659444,0.5368356,0.50058
130500,邢台市,130500,1.741824,1.8879156,2.1186684,2.4534252,2.7798228,2.748978,2.8281312,2.108754,0.90072,0.67554,0.4606632,0.3545532,0.2793852,0.2740068,0.2373624,0.2201904,0.2402784,0.202014,0.1693224,0.1669248,0.1552284,0.1518588,0.1703268,0.1779408,0.1734048,0.165402,0.16929,0.1765152,0.1701324,0.1630044,0.1836756,0.2088504,0.2260548,0.2536272,0.2987604,0.3314196,0.351054,0.34587,0.3568536,0.3643056,0.3694896,0.3563676,0.3536784,0.4031208,0.3928824
130600,保定市,130600,2.569968,3.0784536,2.888136,3.0315708,3.7681524,3.9088008,4.0152024,3.292974,1.5661188,1.401948,1.0297368,0.7746516,0.630018,0.6413904,0.5455188,0.4305312,0.4612464,0.4038012,0.3465504,0.322056,0.2973672,0.3016764,0.2990844,0.324162,0.3027456,0.256608,0.2517804,0.2659392,0.2411208,0.2290356,0.2547288,0.3023892,0.3107484,0.3307392,0.3582144,0.3647268,0.3860784,0.4079808,0.467532,0.4863888,0.5034636,0.5138316,0.522288,0.5925636,0.602964
130700,张家口市,130700,1.00359,1.2496032,1.238166,1.3826376,1.7488872,1.8043884,1.782486,1.3534776,0.7347996,0.7796736,0.6114204,0.4450788,0.2920212,0.335988,0.268758,0.2214216,0.2288088,0.1861056,0.1685124,0.1654992,0.1342656,0.1409076,0.13284,0.1392228,0.16038,0.1540296,0.153252,0.159894,0.1349136,0.121014,0.1371168,0.1497204,0.1524744,0.164754,0.1641708,0.170262,0.1795608,0.1903824,0.200718,0.2227176,0.2307852,0.2224908,0.2217456,0.2160432,0.2000052
130800,承德市,130800,0.7428672,0.8910972,0.9210348,1.056078,1.3830588,1.4094324,1.3304736,0.9132264,0.50139,0.5272776,0.3762936,0.2811996,0.203148,0.2253744,0.1818936,0.1615464,0.1833192,0.133326,0.1241892,0.1178712,0.1073736,0.106596,0.0974916,0.1059156,0.1062072,0.0980424,0.101088,0.1083456,0.089262,0.0733212,0.0865404,0.1149876,0.1329372,0.1340388,0.1324836,0.1363068,0.1478736,0.1465776,0.1639116,0.1580472,0.1644948,0.1705536,0.1706508,0.1776492,0.1742472
