city_baidu_id,name,id,20200117_moveOut,20200118_moveOut,20200119_moveOut,20200120_moveOut,20200121_moveOut,20200122_moveOut,20200123_moveOut,20200124_moveOut,20200125_moveOut,20200126_moveOut,20200127_moveOut,20200128_moveOut,20200129_moveOut,20200130_moveOut,20200131_moveOut,20200201_moveOut,20200202_moveOut,20200203_moveOut,20200204_moveOut,20200205_moveOut,20200206_moveOut,20200207_moveOut,20200208_moveOut,20200209_moveOut,20200210_moveOut,20200211_moveOut,20200212_moveOut,20200213_moveOut,20200214_moveOut,20200215_moveOut,20200216_moveOut,20200217_moveOut,20200218_moveOut,20200219_moveOut,20200220_moveOut,20200221_moveOut,20200222_moveOut,20200223_moveOut,20200224_moveOut,20200225_moveOut,20200226_moveOut,20200227_moveOut,20200228_moveOut,20200229_moveOut,20200301_moveOut
110000,北京市,110000,14.4694836,17.4288348,17.2898064,19.6568208,23.8547592,23.8205448,23.9144724,18.6437052,8.116686,5.303232,3.6684252,2.4341796,1.8136224,1.60623,1.4281272,1.2402396,1.3714596,1.2228732,1.0646316,0.9950688,0.8485884,0.9366192,1.0135044,0.9475056,1.0333008,0.9017244,0.868644,0.8862696,0.8753508,0.8263944,0.8073108,0.9084312,0.9218124,0.9125136,0.9145224,1.0138932,1.1402208,1.0157724,1.0876032,1.139832,1.178226,1.160568,1.2411468,1.4334408,1.190376
120000,天津市,120000,5.0071932,5.1489108,5.5336608,5.9718708,7.012818,6.6174732,6.4302984,5.1361128,2.5204932,2.0054952,1.3991616,1.0397484,0.8480376,0.840942,0.7331472,0.6667272,0.7266996,0.6883704,0.5409828,0.4882032,0.4352292,0.4910544,0.4638384,0.523584,0.6417144,0.4481568,0.4298832,0.471906,0.4508136,0.359802,0.5172984,0.6372432,0.5541696,0.5415336,0.5729616,0.580284,0.6111936,0.6514344,0.7782156,0.721062,0.7655472,0.7961652,0.8058528,0.7993728,0.8530272
130100,石家庄市,130100,2.682072,2.841642,2.9462616,3.2802408,3.9110688,4.035582,4.0872924,3.3202872,1.502712,1.4131908,1.1386656,0.88938,0.7551468,0.7993404,0.7355772,0.6824412,0.7878708,0.6721704,0.5150304,0.4782564,0.4442688,0.4596588,0.4575528,0.5322996,0.5921424,0.4525956,0.4206816,0.4185432,0.4089204,0.3948264,0.4536972,0.5748732,0.567486,0.5764284,0.5913972,0.6133644,0.6775812,0.6723324,0.7329528,0.7420248,0.7556652,0.712152,0.749412,0.813888,0.8432748
130200,唐山市,130200,1.4975604,1.4459796,1.4776992,1.4792868,1.6612128,1.4896872,1.3491036,1.149552,0.8376048,1.0354068,0.9209052,0.7446492,0.6456024,0.6487776,0.5500548,0.4896612,0.4466664,0.4138452,0.3578256,0.3290868,0.2772468,0.2972376,0.3140532,0.33453,0.326592,0.2471796,0.2636388,0.2793528,0.2431944,0.200718,0.2937708,0.3198852,0.3062772,0.3112668,0.3190752,0.3379968,0.348138,0.3825792,0.4091472,0.4157568,0.4281336,0.457326,0.4609872,0.444204,0.5097168
130300,秦皇岛市,130300,0.6144984,0.6371136,0.6615432,0.6754428,0.779868,0.7598772,0.7373592,0.6664356,0.4271292,0.5374836,0.4923504,0.4007556,0.3397788,0.3723084,0.3239352,0.2839536,0.2255364,0.2219076,0.2012688,0.1724328,0.1503036,0.1516644,0.1557792,0.1849068,0.1735668,0.121662,0.1284336,0.1408104,0.1260036,0.0818424,0.1300212,0.1593108,0.1438884,0.1416528,0.1450872,0.1470312,0.1493316,0.171234,0.1959228,0.195372,0.1971216,0.1978992,0.1987092,0.1975752,0.2142612
130400,邯郸市,130400,1.3254516,1.4067756,1.3429152,1.281258,1.3623876,1.1912508,0.9680796,0.9294264,0.595188,0.8039412,0.8445708,0.7810992,0.7711848,0.9072648,0.8265888,0.7301664,0.8471952,0.703728,0.5036256,0.4607604,0.4049352,0.4324752,0.4322484,0.5845284,0.6536052,0.5171688,0.4902444,0.4820148,0.4726836,0.440478,0.4817556,0.5935032,0.6543504,0.671652,0.705024,0.7015572,0.805464,0.8458668,0.8225064,0.7938972,0.8388036,0.7717356,0.6683148,0.8400672,1.0097136
130500,邢台市,130500,1.2264696,1.198476,1.1106396,1.0880568,1.1397024,0.9904356,0.8030664,0.6877224,0.48438,0.9580032,0.7999884,0.6686388,0.5962248,0.746496,0.6233112,0.5553036,0.6122304,0.480978,0.3259764,0.2877768,0.2437128,0.2714796,0.2696976,0.3465504,0.3851064,0.3077352,0.2625696,0.2749464,0.2713824,0.247374,0.28917,0.3735396,0.4035096,0.4695084,0.5048244,0.5469768,0.628398,0.6411636,0.6222096,0.6315408,0.6688332,0.5888052,0.567,0.6375024,0.6900552
130600,保定市,130600,2.4567624,2.3179284,2.4232284,2.4839136,2.6725464,2.2087404,1.8772884,1.4592636,0.93474,1.6562232,1.3415868,1.08702,0.925506,1.0344348,0.8861724,0.8208216,0.909144,0.7700184,0.5034312,0.4532436,0.4080456,0.4198716,0.4292676,0.674892,0.615438,0.4010472,0.3587004,0.3409128,0.3062448,0.302616,0.4027644,0.495396,0.4539564,0.4524012,0.4663332,0.4705776,0.5272128,0.5591268,0.6431724,0.6299208,0.6661116,0.61479,0.658854,0.6582384,0.7242048
130700,张家口市,130700,0.803682,0.8040384,0.7549848,0.73143,0.8423352,0.7543044,0.6589512,0.5648616,0.3497256,0.633744,0.7174332,0.662418,0.5226444,0.6485832,0.549828,0.480654,0.4814316,0.4230468,0.3077352,0.2877768,0.2258928,0.2597508,0.2654856,0.4044492,0.3520584,0.2534652,0.2418336,0.2350296,0.192456,0.1748304,0.2143908,0.2570616,0.2465316,0.237654,0.259362,0.2454624,0.2566728,0.2892996,0.3102948,0.3144744,0.3337524,0.3114612,0.2876472,0.2997324,0.2841156
130800,承德市,130800,0.5160672,0.5276016,0.5175252,0.5331096,0.6274584,0.5408208,0.433836,0.2969136,0.2171448,0.4752432,0.5172012,0.4193856,0.3251988,0.4367844,0.3638844,0.3442176,0.2853144,0.2403756,0.228906,0.203472,0.1500444,0.1870452,0.17901,0.2886192,0.216432,0.1561356,0.150174,0.160218,0.1022544,0.0710532,0.131058,0.172692,0.1891836,0.1993248,0.1941408,0.1809864,0.1977048,0.2205792,0.2207088,0.233766,0.2313684,0.2200608,0.2284848,0.2317248,0.218376
130900,沧州市,130900,1.5869844,1.5506316,1.4373288,1.44018,1.5484284,1.3162824,1.1555784,0.9270936,0.7138692,1.2374532,1.0627848,0.8527032,0.705024,0.8221176,0.6816636,0.59859,0.5675508,0.5464584,0.4086612,0.3748356,0.3347568,0.3556872,0.3184272,0.471582,0.4739148,0.3542616,0.3190752,0.3229956,0.3022596,0.2301696,0.3060828,0.3723408,0.3710772,0.3937896,0.399978,0.4211352,0.4809132,0.520182,0.5411124,0.575586,0.642168,0.6244452,0.6296292,0.64962,0.6544152
131000,廊坊市,131000,3.6393948,3.290706,3.9252276,3.741552,3.845718,3.2289516,2.6672652,2.0815704,1.3233132,1.456218,1.10322,0.8747676,0.7516152,0.7637652,0.713286,0.6587244,0.7266348,0.772092,0.5514804,0.5019732,0.4520772,0.492804,0.4584276,0.6004692,0.8332308,0.5116284,0.4853196,0.5063148,0.4008528,0.3830004,0.4750812,0.8277228,0.5787936,0.5688144,0.6320592,0.5952204,0.526338,0.5674536,1.070496,0.7519068,0.7370028,0.8493012,0.7838208,0.674892,0.7498332
131100,衡水市,131100,0.9349992,1.0164528,1.0263348,1.0471032,1.0229652,0.8797572,0.772902,0.6119712,0.4520772,1.059804,0.904284,0.6798492,0.5495688,0.6051996,0.508518,0.4584924,0.4739472,0.4251528,0.3150576,0.2825604,0.2458836,0.2654532,0.276858,0.345546,0.3528684,0.2598156,0.2374272,0.2362932,0.2164644,0.1948536,0.2410884,0.2868048,0.2781864,0.2841804,0.2946456,0.3076704,0.3564,0.3772008,0.392364,0.39933,0.4243104,0.4136832,0.4212648,0.453276,0.4760532
140100,太原市,140100,2.8054512,3.213108,3.2097708,3.5021808,4.3448076,4.9247676,4.9070772,4.228524,1.819584,1.7637912,1.167048,0.7426404,0.5494068,0.5664492,0.4965948,0.437886,0.493776,0.4635468,0.3801492,0.3656016,0.3456108,0.3700728,0.3656016,0.3734424,0.4034448,0.3253284,0.2975292,0.291276,0.2956176,0.2864484,0.2600424,0.3567564,0.3422736,0.332424,0.378108,0.4095036,0.4475088,0.4310172,0.5573124,0.5419548,0.5609412,0.5353128,0.5748732,0.6992244,0.6472224
140200,大同市,140200,0.6931008,0.7102728,0.6892452,0.7156512,0.776628,0.7182432,0.724626,0.6519528,0.3518316,0.6058152,0.6670836,0.5177844,0.3775572,0.5190804,0.432378,0.4177656,0.3825144,0.3719196,0.2774412,0.2531736,0.2367792,0.2309148,0.2342844,0.3064392,0.3808944,0.3048192,0.2560896,0.2543076,0.2337012,0.2096604,0.2273832,0.2973672,0.2798712,0.2685312,0.2741364,0.2821068,0.2939976,0.3197556,0.350406,0.3814128,0.3766176,0.3533868,0.364662,0.4144932,0.4293
140300,阳泉市,140300,0.3222504,0.3483972,0.3346272,0.3516372,0.3609036,0.3145716,0.3166128,0.3237732,0.1771956,0.2130624,0.209466,0.1708128,0.1470636,0.1659528,0.1509516,0.1332936,0.1373436,0.130086,0.0804492,0.0717984,0.06723,0.0757512,0.0828144,0.1050084,0.0890676,0.0783108,0.0785052,0.0719928,0.0729324,0.073224,0.072576,0.1042308,0.0972972,0.1024164,0.1073088,0.112104,0.1112292,0.1091232,0.1367604,0.1213704,0.134136,0.1015092,0.1280124,0.1607364,0.1727568
140400,长治市,140400,0.6069816,0.6589188,0.590976,0.6056856,0.6618348,0.6406128,0.5324616,0.4614084,0.242352,0.2861244,0.2359692,0.2633796,0.2318868,0.287064,0.2730996,0.2274156,0.2523312,0.207198,0.1499472,0.1467072,0.1139184,0.145476,0.1652076,0.2122848,0.1942056,0.148392,0.1371816,0.140778,0.1384128,0.1311228,0.1382832,0.1781352,0.1853928,0.202176,0.215298,0.2234304,0.2369736,0.26973,0.2919888,0.2957796,0.2963304,0.2543076,0.2129004,0.3422088,0.38556
140500,晋城市,140500,0.3724056,0.4442364,0.4232412,0.4064904,0.4184136,0.3769416,0.35559,0.3388068,0.1776492,0.1460916,0.1277208,0.1502712,0.137538,0.1558116,0.1402596,0.1023192,0.1084428,0.077598,0.0456516,0.0417636,0.03402,0.0453276,0.0694656,0.1132056,0.0859248,0.0577692,0.047142,0.0512568,0.0463968,0.0482112,0.0515484,0.062856,0.0704376,0.0776952,0.0830412,0.083754,0.1005372,0.124902,0.143046,0.156168,0.1548396,0.1385424,0.119232,0.188244,0.1838052
140600,朔州市,140600,0.4235976,0.4556412,0.5208624,0.5084532,0.5196636,0.4606308,0.4184136,0.33777,0.1753164,0.3305448,0.4117716,0.3122064,0.2236248,0.3117204,0.254988,0.237168,0.217728,0.2090772,0.1631016,0.1460268,0.1381536,0.1511136,0.1484568,0.173826,0.2005236,0.1520208,0.1369224,0.1314144,0.1426248,0.1303776,0.1216296,0.1664064,0.1539324,0.1606716,0.1623564,0.1782972,0.181764,0.1962792,0.2218104,0.2306232,0.2349972,0.215298,0.2394036,0.2705076,0.281556
140700,晋中市,140700,1.3817952,1.434672,1.3873356,1.395954,1.5212772,1.2008412,0.9691488,0.816318,0.4873608,0.7282872,0.5633712,0.4735584,0.3922668,0.43983,0.401598,0.3660876,0.3851388,0.3546828,0.2704428,0.2560896,0.2497716,0.2558304,0.2490912,0.3204036,0.3296376,0.2558952,0.235872,0.2424816,0.373734,0.3547152,0.27216,0.4267404,0.5324292,0.4543128,0.4282308,0.4018572,0.4070412,0.4121604,0.4927392,0.4719708,0.4921884,0.4631904,0.4661712,0.573804,0.5851764
140800,运城市,140800,0.7365168,0.755568,0.7261488,0.7360632,0.807084,0.6782616,0.5661576,0.4601124,0.3068604,0.387504,0.4105728,0.4089852,0.4202604,0.4615704,0.4363632,0.3835836,0.4285548,0.3678048,0.2480868,0.247698,0.2316924,0.2295864,0.3056616,0.277506,0.2361312,0.173178,0.1634256,0.16605,0.1687392,0.1728216,0.203796,0.2610144,0.3291192,0.3703644,0.4136508,0.4453704,0.499284,0.5207328,0.5436072,0.574128,0.60021,0.5437692,0.473202,0.5952852,0.583686
140900,忻州市,140900,0.6737904,0.7665192,0.7279956,0.694008,0.702432,0.5741928,0.4605984,0.3137616,0.205092,0.4064256,0.4907628,0.4223988,0.362556,0.4746276,0.3957012,0.3561408,0.3278556,0.2765988,0.2025324,0.1991628,0.17253,0.1953072,0.1914192,0.2721924,0.2331828,0.1797876,0.1782648,0.1784916,0.1813428,0.1817964,0.187434,0.2291004,0.2485404,0.2879712,0.304074,0.3020652,0.3320676,0.3415284,0.3978072,0.4082724,0.4126788,0.3660876,0.389934,0.4316004,0.4656204
141000,临汾市,141000,0.8021916,0.8161236,0.7338924,0.738234,0.7688196,0.6819876,0.5960628,0.5315868,0.3304476,0.3372516,0.3538728,0.3644676,0.35235,0.4039632,0.3843288,0.3581172,0.3992328,0.3471984,0.2543076,0.2319516,0.231498,0.2513268,0.2740068,0.2762748,0.2673,0.2068416,0.1936872,0.207522,0.2099844,0.20493,0.2146824,0.2856708,0.312174,0.320274,0.3435048,0.3643056,0.3964464,0.4277448,0.4496796,0.4717116,0.4779,0.4523688,0.4077216,0.524718,0.5377104
141100,吕梁市,141100,0.8660196,0.991278,0.9512964,0.89991,0.9804564,0.8207244,0.6941376,0.5426676,0.316062,0.4839912,0.478062,0.4478328,0.3941136,0.4839264,0.4458564,0.414072,0.3816396,0.3530628,0.3072816,0.286254,0.2552472,0.2661336,0.2677536,0.3464208,0.3304152,0.2484756,0.2257956,0.2199312,0.2116368,0.2105352,0.22275,0.287064,0.2847312,0.3196584,0.3590892,0.3587976,0.3934656,0.4299804,0.4669488,0.4814316,0.4988952,0.4496148,0.4820472,0.5373216,0.5775948
150100,呼和浩特市,150100,1.2374856,1.3076316,1.3481964,1.4588748,1.755756,1.8820188,2.0099016,1.9206396,0.9936108,1.0409472,0.8806968,0.5728644,0.4086612,0.401274,0.3352428,0.287064,0.3176496,0.251262,0.1867536,0.1768716,0.1575288,0.1568808,0.1573344,0.1972512,0.216432,0.1709748,0.1618704,0.158274,0.1510164,0.1302804,0.1344276,0.1602504,0.1623888,0.1642032,0.1732104,0.17739,0.1824444,0.202176,0.2381724,0.3031992,0.343116,0.3533868,0.3670272,0.4102164,0.4044168
150200,包头市,150200,0.723006,0.8413956,0.88209,0.8635896,0.972648,0.9954576,1.0358928,1.0542636,0.680724,0.8038764,0.6443064,0.4442364,0.3085128,0.3153492,0.2602692,0.2394036,0.2619216,0.2330856,0.1631016,0.1482624,0.132516,0.1346544,0.1317384,0.187272,0.1942704,0.1512108,0.1388016,0.150822,0.1298268,0.1125252,0.1162512,0.147096,0.14742,0.1505304,0.1625184,0.1591812,0.1629396,0.1833192,0.2190888,0.2696976,0.2874528,0.2933172,0.3059532,0.328374,0.3401352
