city_baidu_id,name,id,20200117_travel,20200118_travel,20200119_travel,20200120_travel,20200121_travel,20200122_travel,20200123_travel,20200124_travel,20200125_travel,20200126_travel,20200127_travel,20200128_travel,20200129_travel,20200130_travel,20200131_travel,20200201_travel,20200202_travel,20200203_travel,20200204_travel,20200205_travel,20200206_travel,20200207_travel,20200208_travel,20200209_travel,20200210_travel,20200211_travel,20200212_travel,20200213_travel,20200214_travel,20200215_travel,20200216_travel,20200217_travel,20200218_travel,20200219_travel,20200220_travel,20200221_travel,20200222_travel,20200223_travel,20200224_travel,20200225_travel,20200226_travel,20200227_travel,20200228_travel,20200229_travel,20200301_travel
110000,北京市,110000,6.1884,4.4901,5.3592,5.2178,4.6594,3.9546,3.0974,2.4029,1.8254,1.6544,1.4808,1.386,1.4498,1.3431,1.5133,1.4764,1.3508,1.8071,1.6746,1.563,1.4363,1.6097,1.3753,1.3557,2.2462,2.0881,2.0954,2.1563,1.863,1.3779,1.4317,2.4975,2.4258,2.417,2.4069,2.4652,1.5908,1.5594,2.7557,2.6773,2.7353,2.7116,2.792,1.7131,1.8045
120000,天津市,120000,5.7254,4.7085,5.2522,5.237,4.9308,4.5117,3.8949,3.1833,2.6262,2.644,2.185,1.9868,2.0188,1.941,1.9717,1.9205,1.6998,2.0482,1.8725,1.7223,1.716,1.7736,1.6499,1.5754,1.9205,1.8498,1.8653,1.9099,1.6561,1.4763,1.6436,2.1372,2.1851,2.2057,2.244,2.3562,2.0238,2.0217,2.7405,2.7305,2.8661,2.8964,2.9717,2.4266,2.5051
130100,石家庄市,130100,5.6478,5.1305,5.4597,5.4364,5.186,4.8647,4.2509,3.2459,2.5928,2.2496,1.8377,1.7986,1.7838,1.8784,1.9408,1.904,1.906,2.14,2.0134,1.9161,1.7834,1.8263,1.7145,1.7789,2.1077,2.006,1.9804,1.9918,1.8916,1.7583,1.7696,2.2151,2.2288,2.2829,2.2819,2.4459,2.2297,2.168,2.5793,2.5939,2.672,2.6715,2.8506,2.6121,2.8869
130200,唐山市,130200,5.688,5.2396,5.5316,5.631,5.5693,5.5062,5.2395,4.2478,4.0843,3.8499,3.2903,2.9627,2.8681,2.7626,2.7782,2.7464,2.3755,2.8441,2.754,2.6111,2.3851,2.3838,2.212,2.1015,2.3898,2.3308,2.3913,2.4339,2.1939,1.8941,2.0829,2.4619,2.5019,2.5109,2.5375,2.6251,2.4462,2.5005,2.9231,2.9296,3.1305,3.1831,3.2791,2.9984,3.148
130300,秦皇岛市,130300,5.5038,5.0164,5.3767,5.4731,5.3438,5.2848,4.8871,3.9793,3.4338,3.6846,3.2003,2.8032,2.9678,2.8326,2.7965,2.4981,1.8994,2.2289,2.2345,2.1867,2.1115,2.2216,2.1494,2.0047,2.4448,2.305,2.4031,2.4787,2.2998,1.813,2.045,2.5896,2.6403,2.6482,2.6746,2.7639,2.574,2.5353,3.1424,3.0393,3.2084,3.28,3.3547,2.9683,3.0419
130400,邯郸市,130400,5.4134,5.4315,5.7505,5.9318,5.8967,5.8715,5.2462,4.329,3.5571,2.9872,2.321,2.5321,2.3389,2.5159,2.4221,2.3428,2.3235,2.3895,2.2625,2.1238,1.9516,2.0615,1.8626,2.0527,2.2383,2.2572,2.301,2.3578,2.1693,2.2142,2.38,2.6526,2.7061,2.8538,2.8191,3.0545,3.0806,2.9246,2.7973,2.8973,2.8945,2.8069,2.8468,2.9584,3.3369
130500,邢台市,130500,5.414,5.3218,5.5755,5.7471,5.7203,5.6853,5.0,3.781,3.2879,2.6282,2.219,2.1988,1.9492,2.0063,1.9244,1.8522,1.7665,1.7466,1.6357,1.6022,1.5412,1.6039,1.4716,1.5762,1.669,1.6517,1.6681,1.7137,1.6025,1.6516,1.7259,1.9312,1.9709,2.3062,2.387,2.6601,2.8294,2.8491,2.6493,2.7573,2.7652,2.6666,2.6797,2.8331,3.2572
130600,保定市,130600,5.1152,4.8692,5.0996,5.1671,5.0489,4.9912,4.6418,3.5026,2.5445,2.3791,1.8848,1.8266,1.842,1.8206,1.7007,1.6027,1.5184,1.6466,1.578,1.5427,1.4481,1.4281,1.3364,1.3619,1.4589,1.3971,1.3932,1.3943,1.2619,1.3455,1.3512,1.5209,1.5573,1.6038,1.6097,1.7214,1.7584,1.8174,1.9837,2.0181,2.1119,2.1041,2.2638,2.1194,2.4384
130700,张家口市,130700,5.2842,4.8593,5.1491,5.3707,5.358,5.3764,5.234,4.9479,4.5297,4.6622,3.9779,3.5848,3.1776,3.1116,2.8346,2.6711,2.3636,2.5575,2.4701,2.3909,2.1963,2.2752,2.2949,2.2511,2.5014,2.4684,2.4467,2.4611,2.2189,2.0207,2.0275,2.3996,2.5024,2.5573,2.5411,2.5508,2.4806,2.5898,3.0719,3.0357,3.0512,2.875,2.9298,2.7823,2.6771
130800,承德市,130800,5.2381,4.9128,5.1973,5.4156,5.3994,5.4459,5.0969,3.9677,3.4198,3.6225,2.9106,2.6177,2.651,2.7951,2.6977,2.6838,2.1725,2.6184,2.6239,2.5304,2.3343,2.3563,2.2069,2.14,2.4119,2.4039,2.4778,2.5936,1.8534,1.8704,2.168,2.6298,2.7201,2.7822,2.768,2.8438,2.6678,2.7206,3.1859,3.0481,3.1928,3.1678,3.3082,3.0289,3.0673
130900,沧州市,130900,5.7734,5.4846,5.7226,5.8599,5.7607,5.619,5.0828,3.5238,3.0286,2.7633,2.4206,2.393,2.2914,2.3197,2.1856,2.1113,1.9105,2.2224,2.0763,2.0523,1.9409,1.9817,1.8005,1.8718,1.9717,1.8531,1.8473,1.8936,1.6263,1.5548,1.688,1.897,1.9525,2.012,2.024,2.1231,2.1271,2.2177,2.5068,2.4798,2.7102,2.6798,2.7182,2.726,2.9409
131000,廊坊市,131000,4.6409,4.2676,4.4283,4.3758,4.2027,4.0363,3.7095,2.767,2.2053,2.1903,1.6855,1.5647,1.5541,1.5031,1.5231,1.5225,1.3718,1.6073,1.5286,1.4217,1.3338,1.396,1.2668,1.2344,1.395,1.3218,1.3324,1.3208,1.1619,1.1659,1.2498,1.4808,1.5122,1.5554,1.5537,1.6682,1.5993,1.6184,1.8574,1.8776,1.9875,1.9872,2.1205,1.9164,2.2075
131100,衡水市,131100,5.5467,5.4487,5.6913,5.823,5.7509,5.7444,5.4949,4.1935,3.7684,3.2408,2.5411,2.4618,2.3252,2.3528,2.3013,2.2882,2.1736,2.4477,2.3282,2.2345,1.9802,2.0545,2.022,2.1127,2.3252,2.2929,2.3221,2.3841,2.0117,2.1468,2.2027,2.4629,2.506,2.6089,2.5954,2.804,2.8908,3.048,3.2576,3.2941,3.4765,3.4532,3.4999,3.5009,3.9094
