id,location,confirmed_before,cured_before,dead_before,confirmed,cured,dead,confirmed_after,cured_after,dead_after
110000,北京市,41,0,0,414,282,8,373,282,8
120000,天津市,10,0,0,136,111,3,126,111,3
130100,石家庄市,5,0,0,29,27,0,24,27,0
130200,唐山市,0,0,0,58,48,1,0,0,0
130300,秦皇岛市,0,0,0,10,9,1,0,0,0
130400,邯郸市,2,0,0,32,31,0,30,31,0
130500,邢台市,0,0,0,23,22,1,0,0,0
130600,保定市,3,0,0,32,32,0,29,32,0
130700,张家口市,0,0,0,41,35,0,0,0,0
130800,承德市,1,0,0,7,7,0,6,7,0
130900,沧州市,2,0,1,48,45,3,46,45,2
131000,廊坊市,0,0,0,30,30,0,0,0,0
131100,衡水市,0,0,0,8,8,0,0,0,0
140100,太原市,2,0,0,20,20,0,18,20,0
140200,大同市,1,0,0,12,8,0,11,8,0
140300,阳泉市,1,0,0,4,4,0,3,4,0
140400,长治市,1,0,0,8,7,0,7,7,0
140500,晋城市,0,0,0,10,8,0,0,0,0
140600,朔州市,0,0,0,8,8,0,0,0,0
140700,晋中市,2,0,0,37,28,0,35,28,0
140800,运城市,2,0,0,19,18,0,17,18,0
140900,忻州市,0,0,0,7,6,0,0,0,0
141000,临汾市,0,0,0,2,2,0,0,0,0
141100,吕梁市,0,0,0,6,6,0,0,0,0
150100,呼和浩特市,0,0,0,7,4,0,0,0,0
150200,包头市,0,0,0,11,6,0,0,0,0
150300,乌海市,0,0,0,2,2,0,0,0,0
150400,赤峰市,1,0,0,9,8,0,8,8,0
150500,通辽市,0,0,0,7,4,0,0,0,0
150600,鄂尔多斯市,2,0,0,11,10,0,9,10,0
150700,呼伦贝尔市,2,0,0,7,5,0,5,5,0
150800,巴彦淖尔市,0,0,0,8,7,0,0,0,0
150900,乌兰察布市,0,0,0,3,2,0,0,0,0
152200,兴安盟,0,0,0,1,1,0,0,0,0
152500,锡林郭勒盟,2,0,0,9,3,0,7,3,0
152900,阿拉善盟,0,0,0,0,0,0,0,0,0
210100,沈阳市,5,0,0,28,25,0,23,25,0
210200,大连市,4,0,0,19,15,0,15,15,0
210300,鞍山市,0,0,0,4,2,0,0,0,0
210400,抚顺市,0,0,0,0,0,0,0,0,0
210500,本溪市,1,0,0,3,3,0,2,3,0
210600,丹东市,0,0,0,8,7,0,0,0,0
210700,锦州市,0,0,0,12,11,0,0,0,0
210800,营口市,0,0,0,1,1,0,0,0,0
210900,阜新市,0,0,0,8,8,0,0,0,0
211000,辽阳市,0,0,0,3,3,0,0,0,0
211100,盘锦市,0,0,0,11,11,0,0,0,0
211200,铁岭市,2,0,0,7,6,0,5,6,0
211300,朝阳市,2,0,0,6,4,0,4,4,0
211400,葫芦岛市,2,0,0,12,7,1,10,7,1
220100,长春市,1,0,0,45,39,0,44,39,0
220200,吉林市,2,0,0,5,5,0,3,5,0
220300,四平市,0,0,0,15,11,1,0,0,0
220400,辽源市,0,0,0,7,7,0,0,0,0
220500,通化市,0,0,0,6,3,0,0,0,0
220600,白山市,0,0,0,0,0,0,0,0,0
220700,松原市,1,0,0,2,2,0,1,2,0
220800,白城市,0,0,0,1,0,0,0,0,0
222400,延边朝鲜族自治州,0,0,0,5,5,0,0,0,0
230100,哈尔滨市,8,0,0,198,125,4,190,125,4
230200,齐齐哈尔市,1,0,0,43,33,1,42,33,1
230300,鸡西市,0,0,0,46,32,0,0,0,0
230400,鹤岗市,0,0,0,5,4,0,0,0,0
230500,双鸭山市,0,0,0,52,36,3,0,0,0
230600,大庆市,3,0,0,26,17,1,23,17,1
230700,伊春市,0,0,0,1,1,0,0,0,0
230800,佳木斯市,0,0,0,15,15,0,0,0,0
230900,七台河市,0,0,0,17,13,0,0,0,0
231000,牡丹江市,1,0,0,14,9,0,13,9,0
231100,黑河市,0,0,0,14,11,0,0,0,0
231200,绥化市,2,0,1,47,35,4,45,35,3
232700,大兴安岭地区,0,0,0,2,2,0,0,0,0
310000,上海市,40,1,1,337,290,3,297,289,2
320100,南京市,7,0,0,93,63,0,86,63,0
320200,无锡市,2,0,0,55,49,0,53,49,0
320300,徐州市,0,0,0,79,71,0,0,0,0
320400,常州市,5,0,0,51,48,0,46,48,0
320500,苏州市,7,1,0,87,64,0,80,63,0
320600,南通市,2,0,0,40,37,0,38,37,0
320700,连云港市,3,0,0,48,37,0,45,37,0
320800,淮安市,1,0,0,66,57,0,65,57,0
320900,盐城市,1,0,0,27,27,0,26,27,0
321000,扬州市,1,0,0,23,23,0,22,23,0
321100,镇江市,0,0,0,12,11,0,0,0,0
321200,泰州市,1,0,0,37,37,0,36,37,0
321300,宿迁市,1,0,0,13,12,0,12,12,0
330100,杭州市,27,0,0,169,164,0,142,164,0
330200,宁波市,13,0,0,157,148,0,144,148,0
330300,温州市,18,1,0,504,447,1,486,446,1
330400,嘉兴市,8,0,0,45,41,0,37,41,0
330500,湖州市,1,0,0,10,9,0,9,9,0
330600,绍兴市,5,0,0,42,36,0,37,36,0
330700,金华市,3,0,0,55,51,0,52,51,0
330800,衢州市,3,0,0,14,12,0,11,12,0
330900,舟山市,2,0,0,10,8,0,8,8,0
331000,台州市,21,0,0,146,108,0,125,108,0
331100,丽水市,3,0,0,17,17,0,14,17,0
340100,合肥市,13,0,0,174,144,1,161,144,1
340200,芜湖市,3,0,0,34,31,0,31,31,0
340300,蚌埠市,1,0,0,160,144,5,159,144,5
340400,淮南市,1,0,0,27,21,0,26,21,0
340500,马鞍山市,7,0,0,38,33,0,31,33,0
340600,淮北市,1,0,0,27,24,0,26,24,0
340700,铜陵市,3,0,0,29,29,0,26,29,0
340800,安庆市,5,0,0,83,82,0,78,82,0
341000,黄山市,1,0,0,9,7,0,8,7,0
341100,滁州市,2,0,0,13,11,0,11,11,0
341200,阜阳市,10,0,0,155,134,0,145,134,0
341300,宿州市,2,0,0,41,36,0,39,36,0
341500,六安市,3,0,0,69,57,0,66,57,0
341600,亳州市,6,0,0,108,103,0,102,103,0
341700,池州市,1,0,0,17,13,0,16,13,0
341800,宣城市,1,0,0,6,4,0,5,4,0
350100,福州市,6,0,0,72,70,1,66,70,1
350200,厦门市,3,0,0,35,34,0,32,34,0
350300,莆田市,0,0,0,56,39,0,0,0,0
350400,三明市,1,0,0,14,12,0,13,12,0
350500,泉州市,3,0,0,47,32,0,44,32,0
350600,漳州市,3,0,0,20,16,0,17,16,0
350700,南平市,0,0,0,20,14,0,0,0,0
350800,龙岩市,0,0,0,6,6,0,0,0,0
350900,宁德市,2,0,0,26,23,0,24,23,0
360100,南昌市,4,0,0,230,207,0,226,207,0
360200,景德镇市,1,0,0,6,3,0,5,3,0
360300,萍乡市,2,0,0,33,25,0,31,25,0
360400,九江市,2,0,0,118,94,0,116,94,0
360500,新余市,1,0,0,130,120,0,129,120,0
360600,鹰潭市,0,0,0,18,12,0,0,0,0
360700,赣州市,7,0,0,76,71,1,69,71,1
360800,吉安市,2,0,0,22,18,0,20,18,0
360900,宜春市,5,0,0,106,104,0,101,104,0
361000,抚州市,6,0,0,72,65,0,66,65,0
361100,上饶市,6,0,0,123,111,0,117,111,0
370100,济南市,3,0,0,47,29,0,44,29,0
370200,青岛市,6,0,0,60,52,1,54,52,1
370300,淄博市,1,0,0,30,21,1,29,21,1
370400,枣庄市,0,0,0,24,22,0,0,0,0
370500,东营市,0,0,0,0,0,0,0,0,0
370600,烟台市,2,0,0,47,33,0,45,33,0
370700,潍坊市,2,0,0,44,29,0,42,29,0
370800,济宁市,4,0,0,260,46,0,256,46,0
370900,泰安市,0,0,0,35,30,2,0,0,0
371000,威海市,4,0,0,38,33,0,34,33,0
371100,日照市,4,0,0,16,14,0,12,14,0
371300,临沂市,7,0,0,49,46,0,42,46,0
371400,德州市,3,0,0,37,18,2,34,18,2
371500,聊城市,1,0,0,38,38,0,37,38,0
371600,滨州市,1,0,0,15,12,0,14,12,0
371700,菏泽市,1,0,0,18,17,0,17,17,0
410100,郑州市,20,0,0,157,141,0,137,141,0
410200,开封市,0,0,0,26,18,0,0,0,0
410300,洛阳市,1,0,0,31,30,1,30,30,1
410400,平顶山市,2,0,0,58,57,1,56,57,1
410500,安阳市,3,0,0,53,47,0,50,47,0
410600,鹤壁市,0,0,0,19,18,0,0,0,0
410700,新乡市,3,0,0,57,53,3,54,53,3
410800,焦作市,0,0,0,32,31,1,0,0,0
410900,濮阳市,0,0,0,17,15,0,0,0,0
411000,许昌市,0,0,0,39,38,1,0,0,0
411100,漯河市,3,0,0,35,32,0,32,32,0
411200,三门峡市,2,0,0,7,6,1,5,6,1
411300,南阳市,15,0,1,156,149,3,141,149,2
411400,商丘市,0,0,0,91,87,3,0,0,0
411500,信阳市,22,0,0,274,261,2,252,261,2
411600,周口市,5,0,0,76,69,1,71,69,1
411700,驻马店市,7,0,0,139,139,0,132,139,0
420100,武汉市,618,40,45,49122,19534,2195,48504,19494,2150
420200,黄石市,31,0,1,1014,697,34,983,697,33
420300,十堰市,20,0,0,672,441,7,652,441,7
420500,宜昌市,20,0,1,931,506,31,911,506,30
420600,襄阳市,2,0,0,1175,850,34,1173,850,34
420700,鄂州市,1,0,0,1391,784,47,1390,784,47
420800,荆门市,38,0,1,925,604,37,887,604,36
420900,孝感市,55,0,0,3518,2215,118,3463,2215,118
421000,荆州市,33,0,2,1579,1034,46,1546,1034,44
421100,黄冈市,122,2,2,2905,2171,115,2783,2169,113
421200,咸宁市,43,0,0,836,692,12,793,692,12
421300,随州市,36,0,0,1307,835,40,1271,835,40
422800,恩施土家族苗族自治州,17,0,0,252,192,4,235,192,4
430100,长沙市,18,0,0,242,178,2,224,178,2
430200,株洲市,3,0,0,80,69,0,77,69,0
430300,湘潭市,3,0,0,36,34,0,33,34,0
430400,衡阳市,3,0,0,48,46,0,45,46,0
430500,邵阳市,2,0,0,102,99,1,100,99,1
430600,岳阳市,6,0,0,156,116,1,150,116,1
430700,常德市,7,0,0,82,72,0,75,72,0
430800,张家界市,0,0,0,5,5,0,0,0,0
430900,益阳市,4,0,0,60,59,0,56,59,0
431000,郴州市,3,0,0,39,35,0,36,35,0
431100,永州市,4,0,0,44,42,0,40,42,0
431200,怀化市,8,0,0,40,40,0,32,40,0
431300,娄底市,5,0,0,76,62,0,71,62,0
433100,湘西土家族苗族自治州,3,0,0,8,8,0,5,8,0
440100,广州市,14,0,0,346,260,1,332,260,1
440200,韶关市,3,0,0,10,9,0,7,9,0
440300,深圳市,27,2,0,417,308,3,390,306,3
440400,珠海市,10,0,0,98,75,1,88,75,1
440500,汕头市,2,0,0,25,22,0,23,22,0
440600,佛山市,10,0,0,84,47,0,74,47,0
440700,江门市,0,0,0,23,13,0,0,0,0
440800,湛江市,4,0,0,22,17,0,18,17,0
440900,茂名市,0,0,0,14,10,0,0,0,0
441200,肇庆市,4,0,0,19,14,1,15,14,1
441300,惠州市,8,0,0,62,60,0,54,60,0
441400,梅州市,0,0,0,16,12,0,0,0,0
441500,汕尾市,0,0,0,5,5,0,0,0,0
441600,河源市,0,0,0,4,4,0,0,0,0
441700,阳江市,6,0,0,14,11,0,8,11,0
441800,清远市,3,0,0,12,12,0,9,12,0
441900,东莞市,2,0,0,99,66,1,97,66,1
442000,中山市,2,0,0,66,59,0,64,59,0
445100,潮州市,0,0,0,5,5,0,0,0,0
445200,揭阳市,3,0,0,8,6,0,5,6,0
445300,云浮市,0,0,0,0,0,0,0,0,0
450100,南宁市,1,0,0,55,52,0,54,52,0
450200,柳州市,4,0,0,24,16,0,20,16,0
450300,桂林市,11,0,0,32,27,0,21,27,0
450400,梧州市,2,0,0,5,5,0,3,5,0
450500,北海市,7,0,0,44,33,1,37,33,1
450600,防城港市,2,0,0,19,10,0,17,10,0
450700,钦州市,0,0,0,8,7,0,0,0,0
450800,贵港市,0,0,0,8,6,0,0,0,0
450900,玉林市,1,0,0,11,7,0,10,7,0
451000,百色市,2,0,0,3,3,0,1,3,0
451100,贺州市,0,0,0,4,4,0,0,0,0
451200,河池市,3,0,0,28,8,1,25,8,1
451300,来宾市,0,0,0,11,4,0,0,0,0
451400,崇左市,0,0,0,0,0,0,0,0,0
460100,海口市,3,0,0,39,33,0,36,33,0
460200,三亚市,8,0,0,54,50,1,46,50,1
460300,三沙市,0,0,0,0,0,0,0,0,0
460400,儋州市,3,0,0,15,12,1,12,12,1
500000,重庆市,75,0,0,576,450,6,501,450,6
510100,成都市,22,0,0,143,88,3,121,88,3
510300,自贡市,1,0,0,9,9,0,8,9,0
510400,攀枝花市,0,0,0,16,16,0,0,0,0
510500,泸州市,2,0,0,24,20,0,22,20,0
510600,德阳市,1,0,0,18,10,0,17,10,0
510700,绵阳市,5,0,0,22,16,0,17,16,0
510800,广元市,0,0,0,6,6,0,0,0,0
510900,遂宁市,2,0,0,17,15,0,15,15,0
511000,内江市,1,0,0,22,18,0,21,18,0
511100,乐山市,1,0,0,3,3,0,2,3,0
511300,南充市,2,0,0,39,24,0,37,24,0
511400,眉山市,1,0,0,8,7,0,7,7,0
511500,宜宾市,0,0,0,12,10,0,0,0,0
511600,广安市,2,0,0,30,24,0,28,24,0
511700,达州市,1,0,0,42,27,0,41,27,0
511800,雅安市,1,0,0,7,6,0,6,6,0
511900,巴中市,0,0,0,24,12,0,0,0,0
512000,资阳市,0,0,0,4,2,0,0,0,0
513200,阿坝藏族羌族自治州,0,0,0,1,1,0,0,0,0
513300,甘孜藏族自治州,2,0,0,78,40,0,76,40,0
513400,凉山彝族自治州,0,0,0,13,10,0,0,0,0
520100,贵阳市,1,0,0,36,29,1,35,29,1
520200,六盘水市,0,0,0,10,8,1,0,0,0
520300,遵义市,0,0,0,32,19,0,0,0,0
520400,安顺市,0,0,0,4,4,0,0,0,0
520500,毕节市,0,0,0,23,15,0,0,0,0
520600,铜仁市,2,0,0,10,10,0,8,10,0
522300,黔西南布依族苗族自治州,1,0,0,4,4,0,3,4,0
522600,黔东南苗族侗族自治州,0,0,0,10,10,0,0,0,0
522700,黔南布依族苗族自治州,1,0,0,17,15,0,16,15,0
530100,昆明市,4,0,0,53,48,0,49,48,0
530300,曲靖市,1,0,0,13,12,0,12,12,0
530400,玉溪市,1,0,0,14,12,1,13,12,1
530500,保山市,0,0,0,9,8,0,0,0,0
530600,昭通市,0,0,0,25,25,0,0,0,0
530700,丽江市,2,0,0,7,7,0,5,7,0
530800,普洱市,0,0,0,4,4,0,0,0,0
530900,临沧市,0,0,0,1,1,0,0,0,0
532300,楚雄彝族自治州,0,0,0,4,4,0,0,0,0
532500,红河哈尼族彝族自治州,1,0,0,9,9,0,8,9,0
532600,文山壮族苗族自治州,0,0,0,2,2,0,0,0,0
532800,西双版纳傣族自治州,1,0,0,15,14,1,14,14,1
532900,大理白族自治州,1,0,0,13,13,0,12,13,0
533100,德宏傣族景颇族自治州,0,0,0,5,4,0,0,0,0
533300,怒江傈僳族自治州,0,0,0,0,0,0,0,0,0
533400,迪庆藏族自治州,0,0,0,0,0,0,0,0,0
540100,拉萨市,0,0,0,1,1,0,0,0,0
540200,日喀则市,0,0,0,0,0,0,0,0,0
540300,昌都市,0,0,0,0,0,0,0,0,0
540400,林芝市,0,0,0,0,0,0,0,0,0
542200,山南市,0,0,0,0,0,0,0,0,0
542400,那曲市,0,0,0,0,0,0,0,0,0
542500,阿里地区,0,0,0,0,0,0,0,0,0
610100,西安市,0,0,0,120,101,1,0,0,0
610200,铜川市,0,0,0,8,6,0,0,0,0
610300,宝鸡市,0,0,0,13,12,0,0,0,0
610400,咸阳市,0,0,0,17,16,0,0,0,0
610500,渭南市,0,0,0,15,9,0,0,0,0
610600,延安市,0,0,0,8,8,0,0,0,0
610700,汉中市,0,0,0,26,22,0,0,0,0
610800,榆林市,0,0,0,3,3,0,0,0,0
610900,安康市,0,0,0,26,23,0,0,0,0
611000,商洛市,0,0,0,7,6,0,0,0,0
620100,兰州市,4,0,0,36,32,2,32,32,2
620200,嘉峪关市,0,0,0,0,0,0,0,0,0
620300,金昌市,0,0,0,1,1,0,0,0,0
620400,白银市,1,0,0,4,4,0,3,4,0
620500,天水市,0,0,0,12,12,0,0,0,0
620600,武威市,0,0,0,0,0,0,0,0,0
620700,张掖市,0,0,0,2,2,0,0,0,0
620800,平凉市,0,0,0,9,6,0,0,0,0
620900,酒泉市,0,0,0,0,0,0,0,0,0
621000,庆阳市,0,0,0,3,2,0,0,0,0
621100,定西市,1,0,0,9,8,0,8,8,0
621200,陇南市,0,0,0,4,4,0,0,0,0
622900,临夏回族自治州,1,0,0,3,3,0,2,3,0
623000,甘南藏族自治州,0,0,0,8,8,0,0,0,0
630100,西宁市,1,0,0,15,15,0,14,15,0
