date,city,cityCode,confirmed,cured,dead
2020-01-20,北京市,110000,5,0,0
2020-01-20,上海市,310000,1,0,0
2020-01-21,北京市,110000,10,0,0
2020-01-21,天津市,120000,2,0,0
2020-01-21,上海市,310000,6,0,0
2020-01-21,重庆市,500000,5,0,0
2020-01-22,北京市,110000,14,0,0
2020-01-22,天津市,120000,4,0,0
2020-01-22,上海市,310000,16,0,0
2020-01-22,重庆市,500000,9,0,0
2020-01-23,北京市,110000,22,0,0
2020-01-23,天津市,120000,5,0,0
2020-01-23,上海市,310000,20,0,0
2020-01-23,重庆市,500000,27,0,0
2020-01-24,北京市,110000,36,0,0
2020-01-24,天津市,120000,8,0,0
2020-01-24,上海市,310000,33,1,0
2020-01-24,重庆市,500000,57,0,0
2020-01-25,北京市,110000,41,0,0
2020-01-25,天津市,120000,10,0,0
2020-01-25,上海市,310000,40,1,1
2020-01-25,重庆市,500000,75,0,0
2020-01-26,北京市,110000,68,0,0
2020-01-26,天津市,120000,14,0,0
2020-01-26,上海市,310000,53,1,1
2020-01-26,重庆市,500000,110,0,0
2020-01-27,北京市,110000,80,2,1
2020-01-27,天津市,120000,23,0,0
2020-01-27,上海市,310000,66,3,1
2020-01-27,重庆市,500000,132,0,0
2020-01-28,北京市,110000,91,4,1
2020-01-28,天津市,120000,24,0,0
2020-01-28,上海市,310000,80,4,1
2020-01-28,重庆市,500000,147,0,0
2020-01-29,北京市,110000,114,4,1
2020-01-29,天津市,120000,27,0,0
2020-01-29,上海市,310000,101,5,1
2020-01-29,重庆市,500000,165,1,0
2020-01-30,北京市,110000,132,5,1
2020-01-30,天津市,120000,31,0,0
2020-01-30,上海市,310000,128,5,1
2020-01-30,重庆市,500000,206,1,0
2020-01-31,北京市,110000,156,5,1
2020-01-31,天津市,120000,32,0,0
2020-01-31,上海市,310000,153,9,1
2020-01-31,重庆市,500000,238,1,1
2020-02-01,北京市,110000,183,9,1
2020-02-01,天津市,120000,41,0,0
2020-02-01,上海市,310000,177,10,1
2020-02-01,重庆市,500000,262,3,1
2020-02-02,北京市,110000,212,12,1
2020-02-02,天津市,120000,48,1,0
2020-02-02,上海市,310000,193,10,1
2020-02-02,重庆市,500000,300,7,2
2020-02-03,北京市,110000,228,23,1
2020-02-03,天津市,120000,60,1,0
2020-02-03,上海市,310000,208,10,1
2020-02-03,重庆市,500000,337,9,2
2020-02-04,北京市,110000,253,24,1
2020-02-04,天津市,120000,67,2,0
2020-02-04,上海市,310000,233,12,1
2020-02-04,重庆市,500000,366,14,2
2020-02-05,北京市,110000,274,31,1
