date,province,provinceCode,confirmed,cured,dead
2019-12-01,湖北省,420000,1,0,0
2019-12-02,湖北省,420000,1,0,0
2019-12-03,湖北省,420000,1,0,0
2019-12-04,湖北省,420000,1,0,0
2019-12-05,湖北省,420000,1,0,0
2019-12-06,湖北省,420000,1,0,0
2019-12-07,湖北省,420000,1,0,0
2019-12-08,湖北省,420000,1,0,0
2019-12-09,湖北省,420000,1,0,0
2019-12-10,湖北省,420000,1,0,0
2019-12-11,湖北省,420000,4,0,0
2019-12-12,湖北省,420000,4,0,0
2019-12-13,湖北省,420000,4,0,0
2019-12-14,湖北省,420000,4,0,0
2019-12-15,湖北省,420000,6,0,0
2019-12-16,湖北省,420000,6,0,0
2019-12-17,湖北省,420000,7,0,0
2019-12-18,湖北省,420000,8,0,0
2019-12-19,湖北省,420000,9,0,0
2019-12-20,湖北省,420000,14,0,0
2019-12-21,湖北省,420000,18,0,0
2019-12-22,湖北省,420000,21,0,0
2019-12-23,湖北省,420000,29,0,0
2019-12-24,湖北省,420000,30,0,0
2019-12-25,湖北省,420000,33,0,0
2019-12-26,湖北省,420000,35,0,0
2019-12-27,湖北省,420000,37,0,0
2019-12-28,湖北省,420000,37,0,0
2019-12-29,湖北省,420000,37,0,0
2019-12-30,湖北省,420000,37,0,0
2019-12-31,湖北省,420000,40,0,0
2020-01-01,湖北省,420000,43,0,0
2020-01-02,湖北省,420000,44,0,0
2020-01-03,湖北省,420000,41,0,0
2020-01-04,湖北省,420000,41,0,0
2020-01-05,湖北省,420000,41,0,0
2020-01-06,湖北省,420000,41,0,0
2020-01-07,湖北省,420000,41,0,0
2020-01-08,湖北省,420000,41,0,0
2020-01-09,湖北省,420000,41,0,0
2020-01-10,湖北省,420000,41,2,1
2020-01-11,湖北省,420000,41,6,1
2020-01-12,湖北省,420000,41,7,1
2020-01-13,湖北省,420000,41,7,1
2020-01-14,湖北省,420000,41,7,1
2020-01-15,湖北省,420000,41,12,2
2020-01-16,湖北省,420000,45,15,2
2020-01-17,湖北省,420000,62,19,2
2020-01-18,湖北省,420000,121,24,3
2020-01-19,湖北省,420000,198,25,3
2020-01-19,广东省,440000,1,0,0
2020-01-20,北京市,110000,5,0,0
2020-01-20,吉林省,220000,0,0,0
2020-01-20,上海市,310000,1,0,0
2020-01-20,浙江省,330000,0,0,0
2020-01-20,安徽省,340000,0,0,0
2020-01-20,江西省,360000,0,0,0
2020-01-20,山东省,370000,0,0,0
2020-01-20,湖北省,420000,270,25,6
2020-01-20,广东省,440000,14,0,0
2020-01-20,广西壮族自治区,450000,0,0,0
2020-01-20,海南省,460000,0,0,0
2020-01-20,四川省,510000,0,0,0
2020-01-20,贵州省,520000,0,0,0
2020-01-20,云南省,530000,0,0,0
2020-01-20,宁夏回族自治区,640000,0,0,0
2020-01-21,北京市,110000,10,0,0
2020-01-21,天津市,120000,2,0,0
2020-01-21,山西省,140000,0,0,0
2020-01-21,吉林省,220000,0,0,0
2020-01-21,黑龙江省,230000,0,0,0
2020-01-21,上海市,310000,6,0,0
2020-01-21,浙江省,330000,5,0,0
